Date,SMB,HML
04 January 2010,0.58,1.12
05 January 2010,-0.58,1.22
06 January 2010,-0.25,0.52
07 January 2010,0.08,0.94
08 January 2010,0.4,0.01
11 January 2010,-0.13,-0.21
12 January 2010,-0.19,-1.31
13 January 2010,0.27,0.34
14 January 2010,0.28,0.05
15 January 2010,-0.13,-0.4
19 January 2010,0.43,-0.16
20 January 2010,-0.59,0.25
21 January 2010,0.41,-1.15
22 January 2010,0.55,-0.82
25 January 2010,-0.2,0.34
26 January 2010,-0.09,-0.46
27 January 2010,0.23,0.16
28 January 2010,-0.67,0.46
29 January 2010,-0.04,-0.45
01 February 2010,-0.2,0.91
02 February 2010,-0.42,0.66
03 February 2010,0.11,-0.38
04 February 2010,-0.15,-1.19
05 February 2010,-0.05,-0.06
08 February 2010,0.05,-0.36
09 February 2010,0.32,0.59
10 February 2010,0.25,0.29
11 February 2010,0.71,0.07
12 February 2010,0.97,0.14
16 February 2010,-0.28,1.02
17 February 2010,0.11,0.12
18 February 2010,0.11,0.01
19 February 2010,0.05,0.48
22 February 2010,-0.04,0.57
23 February 2010,0.27,-0.94
24 February 2010,-0.34,0.53
25 February 2010,0.24,0.28
26 February 2010,-0.55,0.39
01 March 2010,1.22,0.07
02 March 2010,0.61,0.18
03 March 2010,0.17,0.09
04 March 2010,0.09,0.23
05 March 2010,0.4,0.61
08 March 2010,0.08,0.26
09 March 2010,0.25,-0.1
10 March 2010,0.05,0.69
11 March 2010,-0.09,-0.11
12 March 2010,0.03,-0.28
15 March 2010,-0.31,-0.48
16 March 2010,-0.14,0.59
17 March 2010,0.04,0.35
18 March 2010,-0.17,-0.57
19 March 2010,-0.6,-0.63
22 March 2010,0.89,0.01
23 March 2010,0.35,0.36
24 March 2010,-0.64,0.82
25 March 2010,-0.48,-0.28
26 March 2010,-0.08,0.31
29 March 2010,-0.07,0.19
30 March 2010,0.29,-0.45
31 March 2010,-0.5,0.15
01 April 2010,-0.01,0.79
05 April 2010,1.07,0.92
06 April 2010,0.23,0.46
07 April 2010,0.21,0.24
08 April 2010,-0.28,0.39
09 April 2010,-0.12,0.17
