"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 11, 2019","36,787.64","36,555.20","36,910.03","36,499.34","101.70K","0.57%"
"Apr 10, 2019","36,579.32","37,138.79","37,170.36","36,464.85","73.30K","-1.48%"
"Apr 09, 2019","37,129.97","36,906.30","37,270.58","36,593.20","108.85K","0.56%"
"Apr 08, 2019","36,921.91","37,552.90","37,552.90","36,738.96","73.33K","-1.60%"
"Apr 05, 2019","37,521.81","37,517.13","37,592.27","37,307.14","48.07K","0.02%"
"Apr 04, 2019","37,516.11","38,037.79","38,042.60","37,413.09","63.15K","-1.33%"
"Apr 03, 2019","38,022.80","38,050.80","38,119.14","37,855.09","63.00K","-0.03%"
"Apr 02, 2019","38,036.03","38,423.14","38,557.74","37,932.29","65.30K","-0.83%"
"Apr 01, 2019","38,354.85","38,633.56","38,633.56","38,211.08","39.70K","-0.76%"
"Mar 29, 2019","38,649.34","38,555.65","38,733.37","38,483.46","82.77K","0.25%"
"Mar 28, 2019","38,552.95","38,960.67","38,960.67","38,418.90","54.35K","-1.06%"
"Mar 27, 2019","38,965.01","38,382.06","38,981.12","38,369.12","91.76K","1.66%"
"Mar 26, 2019","38,329.13","38,161.08","38,372.89","38,039.69","-","0.53%"
"Mar 25, 2019","38,128.66","38,520.35","38,520.35","38,053.15","36.49K","-1.05%"
"Mar 22, 2019","38,531.87","38,437.17","38,721.05","38,389.86","54.20K","0.38%"
"Mar 21, 2019","38,384.71","38,548.18","38,593.48","38,202.28","55.29K","-0.42%"
"Mar 20, 2019","38,547.76","38,600.56","38,666.55","38,427.64","56.16K","-0.17%"
"Mar 19, 2019","38,612.37","38,913.36","39,011.54","38,528.11","54.80K","-0.62%"
"Mar 18, 2019","38,851.95","38,355.84","38,882.82","38,161.72","74.81K","1.42%"
"Mar 15, 2019","38,306.95","38,799.91","38,839.01","38,187.48","100.36K","-1.29%"
"Mar 14, 2019","38,808.61","38,936.09","38,999.39","38,751.60","58.90K","-0.31%"
"Mar 13, 2019","38,928.93","38,874.25","39,060.58","38,828.52","67.53K","0.08%"
"Mar 12, 2019","38,896.49","38,937.01","39,030.25","38,648.12","54.16K","-0.07%"
"Mar 11, 2019","38,924.11","39,012.48","39,146.44","38,875.82","50.34K","-0.07%"
"Mar 08, 2019","38,950.23","39,313.75","39,323.43","38,866.69","46.12K","-0.88%"
"Mar 07, 2019","39,294.10","39,662.44","39,747.18","39,257.99","46.36K","-0.69%"
"Mar 06, 2019","39,568.10","39,718.18","39,845.59","39,494.88","61.61K","-0.30%"
"Mar 05, 2019","39,688.51","39,775.16","39,955.28","39,598.97","126.66K","-0.15%"
"Mar 04, 2019","39,749.74","39,550.18","39,841.74","39,499.36","141.77K","0.53%"
"Mar 01, 2019","39,539.01","39,083.98","39,713.42","39,083.98","94.70K","1.24%"
"Feb 28, 2019","39,054.60","38,815.24","39,149.33","38,558.45","102.34K","0.94%"
"Feb 27, 2019","38,692.69","38,630.12","38,857.90","37,330.38","178.89K","-0.33%"
"Feb 26, 2019","38,821.67","39,421.88","39,421.88","38,726.73","104.83K","-1.98%"
"Feb 25, 2019","39,606.79","39,990.34","40,046.25","39,550.65","44.19K","-1.02%"
"Feb 22, 2019","40,016.13","39,982.37","40,082.21","39,799.93","66.27K","-0.14%"
"Feb 21, 2019","40,070.71","40,317.66","40,416.53","39,882.23","76.30K","-0.52%"
"Feb 20, 2019","40,279.38","39,943.99","40,330.04","39,688.75","89.40K","0.81%"
"Feb 19, 2019","39,957.07","40,242.45","40,320.58","39,941.97","56.02K","-0.65%"
"Feb 18, 2019","40,219.47","40,605.13","40,654.65","40,000.11","57.94K","-0.66%"
"Feb 15, 2019","40,486.67","40,515.20","40,646.39","40,361.03","46.64K","-0.05%"
"Feb 14, 2019","40,506.98","40,544.99","40,589.15","40,318.01","58.30K","-0.09%"
"Feb 13, 2019","40,544.11","40,692.74","40,839.09","40,484.58","102.39K","-0.13%"
"Feb 12, 2019","40,596.28","40,326.19","40,637.26","40,269.00","91.16K","0.67%"
"Feb 11, 2019","40,326.53","41,038.02","41,076.26","40,218.37","87.57K","-1.37%"
"Feb 08, 2019","40,887.35","41,358.68","41,453.10","40,790.60","124.64K","-1.08%"
"Feb 07, 2019","41,332.75","41,529.25","41,606.27","41,289.12","64.17K","-0.42%"
"Feb 06, 2019","41,505.68","41,693.37","41,766.93","41,417.82","118.36K","-0.26%"
"Feb 04, 2019","41,614.39","41,209.08","41,630.13","41,209.08","138.38K","1.22%"
"Feb 01, 2019","41,112.71","40,810.70","41,207.97","40,793.36","127.55K","0.77%"
"Jan 31, 2019","40,799.52","40,635.66","40,860.79","40,635.66","125.88K","0.47%"
"Jan 30, 2019","40,607.12","40,644.33","40,776.92","40,530.69","53.85K","-0.04%"
"Jan 29, 2019","40,624.39","40,421.95","40,647.97","40,307.23","73.70K","0.51%"
"Jan 28, 2019","40,420.09","40,277.09","40,465.15","40,261.39","68.02K","0.39%"
"Jan 25, 2019","40,264.78","40,307.01","40,379.95","40,165.72","116.78K","-0.06%"
"Jan 24, 2019","40,289.16","40,592.67","40,609.03","40,221.34","158.76K","0.58%"
"Jan 23, 2019","40,057.85","39,971.54","40,198.28","39,905.03","106.62K","0.39%"
"Jan 22, 2019","39,902.21","39,557.26","39,959.22","39,485.76","88.46K","0.91%"
"Jan 21, 2019","39,543.77","39,345.13","39,812.36","39,345.13","77.05K","0.60%"
"Jan 18, 2019","39,306.50","39,243.22","39,390.77","39,091.52","121.61K","0.16%"
"Jan 17, 2019","39,243.89","39,265.66","39,294.47","38,780.37","78.83K","-0.07%"
"Jan 16, 2019","39,271.94","39,608.15","39,622.47","39,225.41","69.18K","-0.86%"
"Jan 15, 2019","39,614.17","39,430.20","39,711.92","39,358.16","89.30K","0.51%"
"Jan 14, 2019","39,412.55","39,177.03","39,504.49","39,139.43","83.82K","0.93%"
"Jan 11, 2019","39,049.08","39,116.62","39,278.20","38,780.18","91.60K","-0.11%"
"Jan 10, 2019","39,090.28","39,023.67","39,225.55","38,997.55","66.45K","0.43%"
"Jan 09, 2019","38,921.69","39,201.03","39,267.53","38,816.50","96.86K","-0.33%"
"Jan 08, 2019","39,052.50","38,632.14","39,148.92","38,599.75","105.12K","1.27%"
"Jan 07, 2019","38,562.40","37,621.24","38,626.80","37,621.24","103.49K","2.70%"
"Jan 04, 2019","37,547.49","37,565.24","37,813.99","37,474.66","37.89K","0.01%"
"Jan 03, 2019","37,542.01","37,807.99","37,928.37","37,374.05","46.10K","-0.67%"
"Jan 02, 2019","37,795.25","38,046.70","38,449.04","37,710.38","88.05K","-0.53%"
"Jan 01, 2019","37,995.76","37,067.98","38,046.98","37,046.21","63.47K","2.51%"
"Dec 31, 2018","37,066.67","37,071.76","37,206.17","36,802.40","164.22K","-0.27%"
"Dec 28, 2018","37,167.02","37,368.80","37,368.80","36,918.66","133.40K","-1.81%"
"Dec 27, 2018","37,853.57","38,382.24","38,460.10","37,701.16","69.74K","-0.95%"
"Dec 26, 2018","38,218.07","38,318.41","38,358.08","38,168.54","61.08K","-0.24%"
"Dec 24, 2018","38,308.92","38,222.81","38,347.25","37,934.01","57.69K","0.15%"
"Dec 21, 2018","38,251.04","38,241.05","38,487.37","37,845.42","98.56K","0.04%"
"Dec 20, 2018","38,236.52","38,069.42","38,379.69","38,014.48","81.89K","0.46%"
"Dec 19, 2018","38,063.15","38,051.78","38,179.27","37,859.18","70.42K","-0.14%"
"Dec 18, 2018","38,115.81","38,245.98","38,323.44","37,979.03","68.15K","-0.50%"
"Dec 17, 2018","38,309.17","38,542.41","38,579.06","38,203.63","46.13K","-0.72%"
