Date,Price,Open,High,Low,Vol.,Change
"Apr 11, 2019",70.97,69,73,68.65,641.40K,-0.15%
"Apr 10, 2019",71.08,74.7,74.99,71.08,306.80K,-4.60%
"Apr 09, 2019",74.51,75.9,75.9,72.3,318.90K,-1.23%
"Apr 08, 2019",75.44,78.52,79,75.44,217.00K,-5.11%
"Apr 05, 2019",79.5,79,79.99,78.6,126.30K,-0.61%
"Apr 04, 2019",79.99,80.61,81.25,79.02,218.10K,-0.52%
"Apr 03, 2019",80.41,80.57,81.9,80.01,206.80K,-0.48%
"Apr 02, 2019",80.8,81.88,82,80.5,240.30K,-0.93%
"Apr 01, 2019",81.56,82.74,83,81.02,383.10K,0.00%
"Mar 29, 2019",81.56,80.95,83.5,80.49,781.90K,1.95%
"Mar 28, 2019",80,81.9,81.9,79.83,232.60K,-2.01%
"Mar 27, 2019",81.64,80.06,82.24,80.05,620.50K,2.51%
"Mar 26, 2019",79.64,80.26,81.35,79.6,219.90K,-0.09%
"Mar 25, 2019",79.71,81.51,81.7,79.66,125.30K,-2.44%
"Mar 22, 2019",81.7,82,82.65,80.6,342.00K,0.48%
"Mar 21, 2019",81.31,82,83.1,80.85,428.20K,-0.29%
"Mar 20, 2019",81.55,82.1,82.5,81.5,92.80K,-0.56%
"Mar 19, 2019",82.01,84.05,84.4,82,247.80K,-2.08%
"Mar 18, 2019",83.75,82.65,84,80.97,755.90K,2.11%
"Mar 15, 2019",82.02,84.01,85.5,81.01,802.80K,-3.60%
"Mar 14, 2019",85.08,84.5,87.3,84.12,1.61M,0.91%
"Mar 13, 2019",84.31,82.98,85.18,82.98,566.90K,1.84%
"Mar 12, 2019",82.79,81.75,83.5,80.13,452.00K,2.03%
"Mar 11, 2019",81.14,82.5,82.72,81,234.60K,-0.59%
"Mar 08, 2019",81.62,83.11,83.5,81,434.00K,-2.27%
"Mar 07, 2019",83.52,84.25,85.3,83,514.50K,-1.42%
"Mar 06, 2019",84.72,84.69,85.9,84.01,473.40K,0.39%
"Mar 05, 2019",84.39,87.5,88,83.9,1.55M,-2.51%
"Mar 04, 2019",86.56,82.8,86.56,82.61,1.63M,5.00%
"Mar 01, 2019",82.44,81.5,84.11,81.5,2.04M,2.91%
"Feb 28, 2019",80.11,77.01,80.11,77.01,1.06M,4.99%
"Feb 27, 2019",76.3,76,79.2,74.75,730.80K,-3.02%
"Feb 26, 2019",78.68,81.31,82.4,78.22,895.20K,-4.43%
"Feb 25, 2019",82.33,82.7,83.75,82,309.80K,-0.42%
"Feb 22, 2019",82.68,85.4,85.9,82.25,735.80K,-2.28%
"Feb 21, 2019",84.61,80.85,84.84,80.85,1.28M,4.72%
